id,name,city,address_1,address_2,lat,lon
16215922,"Belkin International Inc","Westchester","12045 East Waterfront Drive",,33.982227,-118.406006
16227572,"Coloft","Santa Monica","920 Santa Monica Blvd",,34.020596,-118.48969
16274222,"From Anywhere you Are!","Los Angeles","Anywhere",,34.052235,-118.243683
16345632,"NR Computer Learning Center  1835 West Orangewood   ","Orange","Suite 200",,33.881321,-117.760162
16404652,"Hulu","Santa Monica","2500 Colorado Blvd",,34.030025,-118.471924
1658181,"Rubicon Project","Los Angeles","1925 South Bundy Drive",,34.034851,-118.456673
16729432,"WEB CONFERENCE ONLY","San Jose","See Description for Details","BDU University",37.39,-121.9
16785622,"Ignited Spaces Hollywood ","Los Angeles","7080 Hollywood Boulevard  #1100",,34.101147,-118.344414
16866932,"Google Los Angeles","Venice","340 Main Street",,33.995556,-118.477089
16921412,"Beckman Hall Room 104, Chapman University","Orange","One University Drive",,33.793003,-117.852608
16945132,"IBM","Costa Mesa","600 Anton Boulevard",,33.690292,-117.88144
16983162,"San Francisco Marriott Marquis","San Francisco","780 Mission Street",,37.785027,-122.404045
17033942,"Ticketmaster/Livenation","Hollywood","7060 Hollywood Blvd., 12th floor",,34.101391,-118.343628
17052512,"GOOD HQ -- 15th floor","Los Angeles","6830 Wilshire Blvd ",,34.064087,-118.371803
17142572,"TVE²: Temecula Valley Entrepreneur's Exchange","Temecula","43200 Business Park Dr.",,33.502945,-117.1633
17412022,"Tony's Darts Away","Burbank","1710 West Magnolia Boulevard",,34.174442,-118.326889
17446692,"Hilton Irvine/Orange County Airport","Irvine","18800 Macarthur Blvd",,33.675152,-117.861984
17672292,"Rush Street Culver City","Culver city","9546 W Washington Blvd",,34.015339,-118.40715
17675192,"USC CAMPUS","Los Angeles","Los Angeles",,34.05349,-118.245323
17677962,"Los Angeles City Hall East","Los Angeles","200 N Los Angeles St (Adjacent to Parker Center)",,34.052353,-118.241646
17711582,"Hilton LAX","Los Angeles","5711 W Century Blvd",,33.94621,-118.3816
17750092,"MK Partners","North Hollywood","5709 Cahuenga Blvd",,34.174335,-118.361862
17867732,"IBM Glendale","Glendale","400 N Brand Blvd","8th Floor",34.152065,-118.25435
17910322,"MGM Grand","Las Vegas","MGM Grand",,36.10191,-115.171295
17960182,"Kelley Blue Book Headquarters","Irvine","217 Technology Drive ",,33.666321,-117.750793
18007272,"Fandango Inc","Los Angeles","12200 W Olympic Blvd Ste 400",,34.032082,-118.455345
18024312,"Cisco","Pasadena","117 East Colorado Boulevard., Suite 300",,34.145844,-118.14772
18025562,"Google","Venice","340 Main St",,36.429214,-121.326416
18074672,"UCLA","Santa Monica","UCLA",,34.074001,-118.438179
18078332,"Hilton Los Angeles Airport Hotel","Los Angeles","5711 West Century Boulevard ",,33.946209,-118.381599
18103072,"DIRECTV","El Segundo","Kilroy Airport Center building , 2230 East Imperial Hwy (AKA ""LA5”) ",,0,0
18174102,"Rubicon Project","Playa Vista","12181 Bluff Creek DR. 4TH Floor",,33.978153,-118.405319
18285362,"Areal Restaurant","Santa Monica","2820 Main St",,34.000134,-118.48172
1829671,"Idealab","Pasadena","130 West Union Street",,34.146652,-118.153336
18381552,"Blankspaces","Los Angeles","529 S Broadway Suite 4000",,34.047588,-118.251656
18381612,"Oracle Office in El Segundo","El Segundo","200 N Sepulveda Blvd",,33.918156,-118.395851
18441472,"LiveNation - Hollywood","90028","7060 Hollywood Blvd",,34.101151,-118.343719
18506112,"Scale12x at Hilton LAX","Los Angeles","5711 West Century Boulevard",,33.946209,-118.381599
18645562,"Peoplespace ","Irvine","1691 Kettering ",,33.697372,-117.84668
1880391,"Blank Spaces","Santa Monica","1450 2nd Street",,34.013803,-118.495967
18805522,"Cross Campus ","santa monica","1558A 10th St",,34.018494,-118.486725
18815992,"UCLA","Los Angeles","90095",,34.070263,-118.444054
18823482,"Cross Campus - new address!","Santa Monica","1558 10th Street ￼",,0,0
18902192,"Cross Campus","Santa Monica","1558 10th St",,34.018394,-118.486938
18902202,"Cross Campus","Santa Monica","1558 10th St",,34.018394,-118.486938
18935262,"Factual Inc","Los Angeles","1999 Avenue of the Stars, 35th Floor",,34.058804,-118.416969
18936782,"Qualcomm ","San Diego","Building Q- 6455 Lusk Blvd ",,0,0
19016202,"USC ","Los Angeles","University of Southern California, Los Angeles, CA",,34.02301,-118.291313
19142582,"Factual Inc","Los Angeles","1999 Avenue of the Stars, 34th Floor",,34.058804,-118.416969
19142612,"Factual Inc","Los Angeles","1999 Avenue of the Stars, 34th Floor",,34.058804,-118.416969
19144592,"Demand Media","Santa Monica","1655 26th Street",,34.029816,-118.469467
19186222,"XPRIZE Office","Culver City","800 Corporate Pointe",,33.987133,-118.389748
19301302,"MaxCDN","Los Angeles","3575 Cahuenga Blvd. West, Suite 350",,34.13361,-118.358429
19476732,"Factual Inc","Los Angeles","1999 Avenue of the Stars, 35th Floor",,34.058804,-118.416969
19476832,"Factual Inc","Los Angeles","1999 Avenue of the Stars, 35th Floor",,34.058804,-118.416969
19651312,"The Upper West","Santa Monica","3321 Pico Blvd",,34.027302,-118.455017
